2,格陵兰,格陵兰
3,加拿大,加拿大
4,美国,美国
5,圣皮埃尔和密克隆,圣皮埃尔和密克隆群岛
6,百慕大,百慕大
7,巴哈马,巴哈马联邦
8,特克斯和凯科斯群岛,特克斯和凯科斯群岛
9,古巴,古巴共和国
10,墨西哥,墨西哥美国
11,开曼群岛,开曼群岛
12,海地,海地共和国
13,波多黎各,波多黎各
14,处女岛,英国
15,多明尼加共和国,多明尼加共和国
16,处女岛,我们。
17,安吉拉,安圭拉岛
18,牙买加,牙买加
19,圣基茨和尼维斯,圣基茨和尼维斯联邦
20,安提瓜和巴布达,安提瓜和巴布达
21,蒙特塞拉特,蒙特塞拉特
22,相信,伯利兹
23,瓜德罗普岛,瓜德罗普岛
24,危地马拉,危地马拉共和国
25,多米尼加,多米尼加联邦
26,马提尼克,马提尼克岛
27,尼加拉瓜,尼加拉瓜共和国
28,圣卢西亚,圣卢西亚
29,萨尔瓦多,萨尔瓦多共和国
30,洪都拉斯,洪都拉斯共和国
31,巴巴多斯,巴巴多斯
32,圣文森特和格林纳丁斯,圣文森特和格林纳丁斯
33,阿鲁巴,阿鲁巴岛
34,哥伦比亚,哥伦比亚共和国
35,格林纳达,格林纳达
36,荷属安的列斯,荷属安的列斯
37,特立尼达和多巴哥,特立尼达和多巴哥共和国
38,哥斯达黎加,哥斯达黎加共和国
39,法国,法兰西共和国
40,巴拿马,巴拿马共和国
41,马绍尔群岛,马绍尔群岛共和国
42,帕劳,Pala琉共和国
43,基里巴斯,基里巴斯共和国
44,美国,美国
45,瑙鲁,瑙鲁共和国
46,所罗门群岛,所罗门群岛
47,巴布亚新几内亚,巴布亚新几内亚独立国
48,库克群岛,库克群岛
49,美国萨摩亚,美属萨摩亚
50,澳大利亚,澳大利亚联邦
51,瓦努阿图,瓦努阿图共和国
52,斐济,斐济群岛共和国
53,汤加,汤加王国
54,纽埃,纽埃
55,新喀里多尼亚,新喀里多尼亚
56,皮特凯恩,皮特凯恩
57,诺福克岛,诺福克岛
58,希尔德岛和麦当劳岛,希尔德岛和麦当劳群岛
59,布瓦岛,布维岛
60,北马里亚纳群岛,北马里亚纳群岛联邦
61,南极洲,南极洲
62,南乔治亚州和南桑威奇群岛,南乔治亚岛和南桑威奇岛
